first_name,last_name,description
Ana Cristina,Viera de Melo,"Professora titular no IME-USP, atua em Engenharia de Software, Métodos Formais e Linguagens de Programação. Suas pesquisas incluem automação de regras para programação orientada a objetos e validação de transformações de programas orientados a objetos utilizando o Alloy Analyzer. Contribui para o desenvolvimento de ambientes formais de desenvolvimento de programas."
Cristina,Fernandes,"Professora associada no IME-USP, com doutorado pelo Georgia Institute of Technology. Suas pesquisas envolvem Algoritmos, Otimização Combinatória e Teoria dos Grafos. É membro do grupo de pesquisa em Ciência da Computação Teórica, Combinatória e Otimização Combinatória."
Kelly,Braghetto,"Professora assistente no IME-USP, especializada em Bancos de Dados, Gerenciamento de Fluxo de Trabalho e Métodos Formais. Suas pesquisas incluem modelagem formal e análise de fluxos de trabalho, avaliação de desempenho e integração de dados. Contribui para o desenvolvimento de plataformas de cidades inteligentes escaláveis."
Leliane,Nunes de Barros,"Professora livre-docente no IME-USP, com foco em Inteligência Artificial e Planejamento Automatizado. Suas pesquisas incluem Processos de Decisão de Markov Sensíveis ao Risco e planejamento simbólico para políticas fortemente cíclicas. Contribui para o desenvolvimento de políticas ótimas em processos de decisão com restrições de custo."
Nami,Kobayashi,"Professora aposentada do IME-USP, especializada em Linguagens Formais e Autômatos. Suas pesquisas abordam relações racionais, expressões regulares e funções subsequenciais. Contribuiu significativamente para o ensino e desenvolvimento de teorias formais na computação."
Nina Sumiko,Tomita Hirata,"Professora livre-docente no IME-USP, com doutorado em Ciência da Computação pela USP. Sua pesquisa concentra-se em aprendizado de máquina, reconhecimento de padrões e processamento de imagens, com aplicações em áreas como análise de imagens médicas, reconhecimento de escrita manual e segmentação de documentos."
Renata,Wassermann,"Professora associada no IME-USP, com doutorado pela Universidade de Amsterdã. Suas pesquisas envolvem Inteligência Artificial, Lógica e Representação de Conhecimento. É membro do grupo de pesquisa em Lógica, Inteligência Artificial e Métodos Formais (LIAMF) e pesquisadora no Centro de Inteligência Artificial (C4AI)."
Yoshiko,Wakabayashi,"Professora titular no IME-USP, com doutorado pela Universidade de Augsburg. Suas pesquisas incluem otimização combinatória, teoria dos grafos, algoritmos e combinatória poliedral. Foi premiada com a Ordem Nacional do Mérito Científico e eleita membro da Academia Brasileira de Ciências."
Ada,Lovelace,"Matemática e escritora britânica, considerada a primeira programadora de computadores. Trabalhou com Charles Babbage no projeto da máquina analítica e escreveu notas que descreviam um algoritmo para calcular números de Bernoulli, sendo reconhecida como a primeira pessoa a conceber um algoritmo destinado a ser processado por uma máquina."
Grace,Hopper,"Almirante da Marinha dos EUA e cientista da computação, desenvolveu o primeiro compilador para um computador eletrônico e foi pioneira na criação da linguagem COBOL. Popularizou o termo 'debugging' no contexto de programação."
